cores freq perf power
0xF0 2000000 1 0.997759487988669
0xF0 1900000 0.957251578265424 0.784601013465864
0xF0 1800000 0.893884910679826 0.677658927546869
0xF0 1700000 0.859508532282075 0.588728800934653
0xF0 1600000 0.809996485085736 0.522820488512876
0xF0 1500000 0.770881002922203 0.455201485879291
0xF0 1400000 0.734605020124607 0.418772934033553
0xF0 1300000 0.674417282350995 0.38443030778881
0xF0 1200000 0.647842635220819 0.34705375808482
0xF0 1100000 0.579449123339031 0.309432446564466
0xF0 1000000 0.547535769421624 0.277329671705369
0xF0 900000 0.498346784198048 0.245038618525992
0xF0 800000 0.439057589458014 0.225974612815544
0xF0 700000 0.394487098197056 0.207515409919889
0xF0 600000 0.339734555053206 0.190423702192584
0xF0 500000 0.278517326459723 0.170684206719026
0xF0 400000 0.224754645200419 0.152826173196897
0xF0 300000 0.171426159232508 0.135907879711954
0xF0 200000 0.116528884324861 0.116397621351158
0x70 2000000 0.967808382036721 1
0x70 1900000 0.940434264211281 0.770781054444475
0x70 1800000 0.881596494734521 0.652123432624273
0x70 1700000 0.865388260186359 0.588707330599885
0x70 1600000 0.798404160004411 0.508639827867371
0x70 1500000 0.772426531399901 0.457525567039799
0x70 1400000 0.71568995699399 0.40391942612768
0x70 1300000 0.679712914208524 0.376329715636977
0x70 1200000 0.638496236974141 0.338833592683967
0x70 1100000 0.573799415559354 0.301290895620151
0x70 1000000 0.520395979213762 0.27574846412786
0x70 900000 0.490104827148922 0.241051742515854
0x70 800000 0.434240950818768 0.225424311619778
0x70 700000 0.387156606660418 0.205434769324375
0x70 600000 0.327012805315102 0.187330322421669
0x70 500000 0.272268877157193 0.171422786235071
0x70 400000 0.227887915586922 0.153629824342933
0x70 300000 0.168790835033357 0.134889855531072
0x70 200000 0.115705291668964 0.117123979292027
0x30 2000000 0.916171017808899 0.967373348972545
0x30 1900000 0.900847542316811 0.769310831982079
0x30 1800000 0.851663726084799 0.650792932494295
0x30 1700000 0.806802909797651 0.576493352619199
0x30 1600000 0.795487987263605 0.517527885835954
0x30 1500000 0.734086397970999 0.451754671366798
0x30 1400000 0.709300221922038 0.407760634174233
0x30 1300000 0.655944167999118 0.383738632696413
0x30 1200000 0.602726815349837 0.336049385733722
0x30 1100000 0.570814322931025 0.304553395566475
0x30 1000000 0.520313275348735 0.270144706753213
0x30 900000 0.463812751557589 0.238134089177201
0x30 800000 0.410686717759277 0.222471975432652
0x30 700000 0.374818223796659 0.206737853488417
0x30 600000 0.326420955781 0.187203151977269
0x30 500000 0.267360919666979 0.168641221787567
0x30 400000 0.215808843799967 0.15114091707397
0x30 300000 0.166801634779732 0.13340113554949
0x30 200000 0.110640541434636 0.115915364600967
0x10 2000000 0.890194250702983 0.910497771544407
0x10 1900000 0.824952100678172 0.722938872635662
0x10 1800000 0.793834771461653 0.607594288626701
0x10 1700000 0.773182065666869 0.542853962416344
0x10 1600000 0.709087431769311 0.482481032610796
0x10 1500000 0.683776603076584 0.433105208273808
0x10 1400000 0.639712672988918 0.389353290394866
0x10 1300000 0.598368493962618 0.357050015640313
0x10 1200000 0.560558182169047 0.323197573653983
0x10 1100000 0.520353765782654 0.286968861078016
0x10 1000000 0.468947283178034 0.257092725090861
0x10 900000 0.426112711584055 0.227299497627198
0x10 800000 0.382994706952638 0.208373562684955
0x10 700000 0.328928778188234 0.193870516705077
0x10 600000 0.279892278215802 0.175605868073711
0x10 500000 0.240774211556487 0.160749387352255
0x10 400000 0.186609210453769 0.14373662439433
0x10 300000 0.140885172575398 0.12742544591408
0x10 200000 0.0936216367094889 0.108797783468701
0xF 1400000 0.46564085157413 0.197579269301748
0xF 1300000 0.430334916193417 0.216654505648845
0xF 1200000 0.397277492143133 0.202332801419552
0xF 1100000 0.36907202817445 0.181460663208732
0xF 1000000 0.337501550697469 0.167933031053041
0xF 900000 0.315569519490544 0.134907692424572
0xF 800000 0.28304794756575 0.124170543163135
0xF 700000 0.249110933450957 0.11608877884333
0xF 600000 0.216867625572035 0.109452463522727
0xF 500000 0.181668516016982 0.104593891920977
0xF 400000 0.147888294646303 0.100991830372464
0xF 300000 0.114639617908144 0.0961940363337521
0xF 200000 0.079406048409329 0.0910163825260543
0x7 1400000 0.45308020207311 0.19117516390949
0x7 1300000 0.426492632464024 0.175640550922184
0x7 1200000 0.394039118928158 0.16265198932561
0x7 1100000 0.368598203947731 0.151715000794402
0x7 1000000 0.334817121078458 0.141431701378693
0x7 900000 0.305498600926283 0.132228524958273
0x7 800000 0.275210033357226 0.121466602233642
0x7 700000 0.245336708110492 0.114187498121346
0x7 600000 0.212455891271985 0.107760931455791
0x7 500000 0.178624841484259 0.10401287163085
0x7 400000 0.146893263770194 0.0994585181571318
0x7 300000 0.111564067927441 0.0960212827170742
0x7 200000 0.0778165835033357 0.0904971307374928
0x3 1400000 0.430265996305894 0.186999348953387
0x3 1300000 0.402548140541435 0.172700766623076
0x3 1200000 0.378942217566301 0.1603123834615
0x3 1100000 0.348524425208138 0.149680934309694
0x3 1000000 0.321407033963721 0.139488140612856
0x3 900000 0.292133311738435 0.130599422018588
0x3 800000 0.261674167447759 0.119712310726612
0x3 700000 0.235164994210729 0.113182356141325
0x3 600000 0.204206180735513 0.107111206094404
0x3 500000 0.171893952969069 0.102894102032976
0x3 400000 0.141043688316701 0.0995067438321509
0x3 300000 0.108994217621437 0.0941599698490437
0x3 200000 0.0747884159453052 0.090713815962236
0x1 1400000 0.36736798395545 0.1783702562534
0x1 1300000 0.348611436566136 0.165136932840463
0x1 1200000 0.323403126206098 0.153115857559854
0x1 1100000 0.301086866626234 0.143463455673503
0x1 1000000 0.278619844792413 0.134910334927313
0x1 900000 0.254099871809009 0.125982639417619
0x1 800000 0.227824164690963 0.11620703084098
0x1 700000 0.201593255499807 0.110411031391942
0x1 600000 0.176047237690908 0.10401287163085
0x1 500000 0.148286306996747 0.100681005987581
0x1 400000 0.120324647130176 0.0971909204927078
0x1 300000 0.0913464189226443 0.092834094098862
0x1 200000 0.0621958909963059 0.0886126959704806
