cores freq perf power
0xF0 2000000 0.934480666876451 0.89006900955066
0xF0 1900000 0.887437317403978 0.769828935352126
0xF0 1800000 0.840441095457646 0.658699193199282
0xF0 1700000 0.793492001037456 0.556679783092127
0xF0 1600000 0.746590034143408 0.463770705030661
0xF0 1500000 0.699735194775502 0.379971959014884
0xF0 1400000 0.652927482933738 0.305283545044796
0xF0 1300000 0.606166898618116 0.239705463120398
0xF0 1200000 0.559453441828636 0.183237713241688
0xF0 1100000 0.512787112565298 0.135880295408668
0xF0 1000000 0.466167910828102 0.0976332096213367
0xF0 900000 0.419595836617048 0.0684964558796946
0xF0 800000 0.373070889932135 0.0484700341837418
0xF0 700000 0.326593070773365 0.037553944533478
0xF0 600000 0.280162379140737 0.0357481869289034
0xF0 500000 0.23377881503425 0.043052761370018
0xF0 400000 0.187442378453906 0.0594676678568217
0xF0 300000 0.141153069399703 0.0849929063893145
0xF0 200000 0.0949108878716429 0.119628476967496
0x70 2000000 0.934480666876451 0.89006900955066
0x70 1900000 0.887437317403978 0.769828935352126
0x70 1800000 0.840441095457646 0.658699193199282
0x70 1700000 0.793492001037456 0.556679783092127
0x70 1600000 0.746590034143408 0.463770705030661
0x70 1500000 0.699735194775502 0.379971959014884
0x70 1400000 0.652927482933738 0.305283545044796
0x70 1300000 0.606166898618116 0.239705463120398
0x70 1200000 0.559453441828636 0.183237713241688
0x70 1100000 0.512787112565298 0.135880295408668
0x70 1000000 0.466167910828102 0.0976332096213367
0x70 900000 0.419595836617048 0.0684964558796946
0x70 800000 0.373070889932135 0.0484700341837418
0x70 700000 0.326593070773365 0.037553944533478
0x70 600000 0.280162379140737 0.0357481869289034
0x70 500000 0.23377881503425 0.043052761370018
0x70 400000 0.187442378453906 0.0594676678568217
0x70 300000 0.141153069399703 0.0849929063893145
0x70 200000 0.0949108878716429 0.119628476967496
0x30 2000000 0.934480666876451 0.89006900955066
0x30 1900000 0.887437317403978 0.769828935352126
0x30 1800000 0.840441095457646 0.658699193199282
0x30 1700000 0.793492001037456 0.556679783092127
0x30 1600000 0.746590034143408 0.463770705030661
0x30 1500000 0.699735194775502 0.379971959014884
0x30 1400000 0.652927482933738 0.305283545044796
0x30 1300000 0.606166898618116 0.239705463120398
0x30 1200000 0.559453441828636 0.183237713241688
0x30 1100000 0.512787112565298 0.135880295408668
0x30 1000000 0.466167910828102 0.0976332096213367
0x30 900000 0.419595836617048 0.0684964558796946
0x30 800000 0.373070889932135 0.0484700341837418
0x30 700000 0.326593070773365 0.037553944533478
0x30 600000 0.280162379140737 0.0357481869289034
0x30 500000 0.23377881503425 0.043052761370018
0x30 400000 0.187442378453906 0.0594676678568217
0x30 300000 0.141153069399703 0.0849929063893145
0x30 200000 0.0949108878716429 0.119628476967496
0x10 2000000 0.934480666876451 0.89006900955066
0x10 1900000 0.887437317403978 0.769828935352126
0x10 1800000 0.840441095457646 0.658699193199282
0x10 1700000 0.793492001037456 0.556679783092127
0x10 1600000 0.746590034143408 0.463770705030661
0x10 1500000 0.699735194775502 0.379971959014884
0x10 1400000 0.652927482933738 0.305283545044796
0x10 1300000 0.606166898618116 0.239705463120398
0x10 1200000 0.559453441828636 0.183237713241688
0x10 1100000 0.512787112565298 0.135880295408668
0x10 1000000 0.466167910828102 0.0976332096213367
0x10 900000 0.419595836617048 0.0684964558796946
0x10 800000 0.373070889932135 0.0484700341837418
0x10 700000 0.326593070773365 0.037553944533478
0x10 600000 0.280162379140737 0.0357481869289034
0x10 500000 0.23377881503425 0.043052761370018
0x10 400000 0.187442378453906 0.0594676678568217
0x10 300000 0.141153069399703 0.0849929063893145
0x10 200000 0.0949108878716429 0.119628476967496
0xF 1400000 0.652927482933738 0.305283545044796
0xF 1300000 0.606166898618116 0.239705463120398
0xF 1200000 0.559453441828636 0.183237713241688
0xF 1100000 0.512787112565298 0.135880295408668
0xF 1000000 0.466167910828102 0.0976332096213367
