cores freq perf power
0xF0 2000000 0.883874098562006 0.985253663953694
0xF0 1900000 0.918500633932909 0.906883821142425
0xF0 1800000 0.930370523076466 0.814888071260547
0xF0 1700000 0.93141176117234 0.72053061305795
0xF0 1600000 0.89071382852373 0.625145805729386
0xF0 1500000 0.854321106530923 0.543842610872697
0xF0 1400000 0.813759012809559 0.484402968628269
0xF0 1300000 0.775291560315742 0.445108880986349
0xF0 1200000 0.738156721517947 0.394621698922669
0xF0 1100000 0.693771565973861 0.349162906120535
0xF0 1000000 0.646461402317596 0.30918101946542
0xF0 900000 0.598839739788696 0.271931343000731
0xF0 800000 0.549665131661029 0.240576827537936
0xF0 700000 0.50248919301086 0.217428076505024
0xF0 600000 0.442009304755706 0.196614570649097
0xF0 500000 0.374640235100824 0.172757624530299
0xF0 400000 0.309338864017095 0.14893416461047
0xF0 300000 0.240729377348418 0.125218917070416
0xF0 200000 0.159810306121063 0.0971891816269883
0x70 2000000 0.793201592361889 0.9010033320024
0x70 1900000 0.813034094133629 0.81222925908915
0x70 1800000 0.812832437983424 0.684845022795767
0x70 1700000 0.785261416429313 0.596841633337968
0x70 1600000 0.756008612166092 0.521998645013268
0x70 1500000 0.726639646737299 0.457091608450673
0x70 1400000 0.693111901870673 0.409705849069933
0x70 1300000 0.66309384496709 0.376410760489698
0x70 1200000 0.638172627675457 0.335205973808489
0x70 1100000 0.599209067405235 0.298688220388002
0x70 1000000 0.557800900366203 0.266024485345897
0x70 900000 0.513895570093165 0.234636712965686
0x70 800000 0.461906887432038 0.21019040661354
0x70 700000 0.418205488313076 0.190039289645073
0x70 600000 0.369508700521978 0.170928443743856
0x70 500000 0.319132341917366 0.152662483260722
0x70 400000 0.257875097391848 0.133079670036919
0x70 300000 0.202502295718375 0.111827600426943
0x70 200000 0.135678841924147 0.0889470637984511
0x30 2000000 0.656156290150718 0.771543552049482
0x30 1900000 0.634668172546945 0.618940765561174
0x30 1800000 0.6292975205319 0.555043084731174
0x30 1700000 0.605922121542877 0.486547164432906
0x30 1600000 0.587074997614542 0.425743388977912
0x30 1500000 0.55954350087741 0.372795471443021
0x30 1400000 0.540301286938422 0.335422942013393
0x30 1300000 0.516995271009193 0.310844386482381
0x30 1200000 0.482384358297097 0.278551539943331
0x30 1100000 0.453908573511321 0.249253877563913
0x30 1000000 0.422869589615624 0.222488530233513
0x30 900000 0.397152716551124 0.197986960564127
0x30 800000 0.361534448933154 0.176698152032799
0x30 700000 0.327949326703764 0.162089737434973
0x30 600000 0.286656295424681 0.14694543224673
0x30 500000 0.247774643732107 0.131718036108615
0x30 400000 0.208457603584593 0.115889307093836
0x30 300000 0.160298157679819 0.0984419950466189
0x30 200000 0.110637553505794 0.0800375056710575
0x10 2000000 0.446668627451773 0.543985416091447
0x10 1900000 0.436655294808858 0.442388164741362
0x10 1800000 0.42409937541792 0.385533383783231
0x10 1700000 0.4110042767414 0.345885051657244
0x10 1600000 0.396316854801821 0.31001668009078
0x10 1500000 0.379915905648957 0.279602939947916
0x10 1400000 0.364152448981467 0.255253145960039
0x10 1300000 0.346917266456312 0.236356665189077
0x10 1200000 0.328952435382061 0.22203384382237
0x10 1100000 0.308617205159 0.200893571163047
0x10 1000000 0.288938264100948 0.181595913398529
0x10 900000 0.271872499303955 0.163367547602731
0x10 800000 0.246660898459498 0.145545743674448
0x10 700000 0.225245330269759 0.134422313253433
0x10 600000 0.196987947604486 0.123539688428339
0x10 500000 0.171144967650757 0.111623611084292
0x10 400000 0.144408738308779 0.0994127562533062
0x10 300000 0.109264827849134 0.0865817119296825
0x10 200000 0.0724625104417634 0.0728727412750687
0-3 1400000 0.438286182767825 0.173706395643909
0-3 1300000 0.419721323756664 0.158977075903013
0-3 1200000 0.396610607675112 0.143554782566231
0-3 1100000 0.371203360554599 0.130966075653878
0-3 1000000 0.353216578427737 0.118888996513762
0-3 900000 0.322577347529316 0.107156547728404
0-3 800000 0.291779817275523 0.0952921040423289
0-3 700000 0.262120263193218 0.0880373798200963
0-3 600000 0.223514528387321 0.0807984272566732
0-3 500000 0.197355054682577 0.074894320507945
0-3 400000 0.164491102659034 0.070231853410611
0-3 300000 0.12518256475949 0.0651050543282755
0-3 200000 0.0903210679927439 0.0590945597545241
0-2 1400000 0.341013523590109 0.151502368106185
0-2 1300000 0.333613980241977 0.138248256042708
0-2 1200000 0.313501484539374 0.124891882357964
0-2 1100000 0.293085429011778 0.115190469707403
0-2 1000000 0.271978055506787 0.105873941455652
0-2 900000 0.250355875194747 0.0976485828184138
0-2 800000 0.222606721039836 0.0881206542821405
0-2 700000 0.206227657385956 0.0816624791380244
0-2 600000 0.182333769458949 0.0758291798961396
0-2 500000 0.157726283518954 0.0711293992216727
0-2 400000 0.128545054495325 0.0671699346124415
0-2 300000 0.10445391704406 0.0629294810074986
0-2 200000 0.0711419227305183 0.0582591733917865
0-1 1400000 0.256518825359159 0.132649480753084
0-1 1300000 0.237106638506398 0.121527190898232
0-1 1200000 0.223778466229469 0.110545145808218
0-1 1100000 0.209482014611524 0.102178340107489
0-1 1000000 0.199803001123072 0.0945832681187134
0-1 900000 0.184302902875594 0.0880392880086005
0-1 800000 0.16884259662501 0.0796238861572666
0-1 700000 0.148842983614244 0.0742607302372174
0-1 600000 0.132291946486651 0.069481988467883
0-1 500000 0.116857624579014 0.0657295564241657
0-1 400000 0.0987748370670763 0.0625979923165921
0-1 300000 0.076000664086729 0.0592708030126305
